LZ,time,user_name,response
#过期食品# 2018年5月27日、南方航空CZ6678次且末至库尔勒航班，公务舱发放过期长达1个月之久的果仁@民航局消费者事务中心 @新疆都市消费晨报 @南方航空 @新疆12315 日本·埼玉市 ,06-14,小晴哥买买买,@中国南方航空 为什么消费者投诉的问题不能得到真实回复和合理解决呢？过期食品还允许流通，本来就是贵司监管不到位，为什么还要把责任推卸到供货商和乘客身上别家航空公司都在努力提高自家服务水平，贵司真的厉害，原地退步，还要求删贴完事
 ,06-06,这里是库尔勒,#巴音郭楞爆料# \/\/@蔷Wmiss: 这就是南航这种大公司的服务意识和服务态度啊！简直失望透顶……@12315消费者维权投诉 @新疆食品药品监督管理局
 ,06-05,蚀五,关注
 ,06-05,小狼崽子-,回复@南航客户服务中心:对于你们的处理结果我不非常不满意
 ,06-05,南航客户服务中心,网友，您好！给您带来不佳体验我们深表歉意，我们非常重视您反馈的问题，望您通过私信提供：乘机人客票号码（如无可提供乘机证件号码）以及联系方式。收到信息后我司将立刻核查并给予您回复。
 ,06-05,大象打糕行,转发转发！
中国南方航空自己原因取消的航班机票，过期前并没有通知我，现在告诉我说客票已经锁定，无法取消无法改签无法使用，也不退票。也不退款。客服人员言语霸道无理，还敢威胁我。 深圳·宝安中心区 ,05-18,青润,回复@南航客户服务中心:已经发给你了。
 ,05-17,南航客户服务中心,网友，您好！给您带来不佳体验我们深表歉意，我们非常重视您反馈的问题，望您通过私信提供：乘机人客票号码（如无可提供乘机证件号码）以及联系方式。收到信息后我司将立刻核查并给予您回复。
 ,05-17,青润,航空公司的霸王条款该改一改了。能用这么无耻的手段，非法，霸占客户的，资金，也真是开了眼界！
"因为信任所以一直选择～5月25日南京暴雨所有航班取消～导致我不得不取消广州至胡志明段往返机票～1280的票价被扣除1050手续费
南航你是有多缺钱？南京至胡志明往返段也在退票中，请问产生的作废签证费是否赔偿？@南方航空 @人民日报 @看看新闻KNEWS @澎湃新闻 怀化·凉水井镇 ",05-31,南航客户服务中心,网友，您好！给您带来不佳体验我们深表歉意，我们非常重视您反馈的问题，望您通过私信提供：乘机人客票号码（如无可提供乘机证件号码）以及联系方式。收到信息后我司将立刻核查并给予您回复。
